ID,Name,Type,Has Leggacy,Offering (Estimated),Expiry,Egg,Egg Value,Duration,Size,Token,Std#1,Std#2,Std#3,Std Rate/hr,Elt#1,Elt#2,Elt#3,Elt Rate/hr,#PE,Std PE Goal,Std PE Rate/hr,Elt PE Goal,Elt PE Rate/hr,JSON,Protobuf (base64)
housing-boom,Housing Boom!,Leggacy,true,2019-05-14Z,2019-05-21T01:47:16Z,Super Material,150,14d6m,2,-,2q,12q,,35.702T,,,,,2,12q,35.702T,,,"{""id"":""housing-boom"",""egg_type"":5,""rewards"":[{""_1"":1,""goal"":2000000000000000,""type"":3,""count"":25000,""_6"":50000},{""_1"":1,""goal"":12000000000000000,""type"":4,""name"":""subtype"",""count"":2,""_6"":25000000000}],""coop_allowed"":true,""max_coop_size"":2,""expiry_timestamp"":1558403236.7884774,""duration_seconds"":1210000,""name"":""Housing Boom!"",""description"":""There are housing shortages all over the galaxy, the building boom needs more Super Material eggs to catch up!""}",Cgxob3VzaW5nLWJvb20QBRofCAERAAA0JvVrHEMYAykAAAAAAGrYQDEAAAAAAGroQBooCAERAACn3PdQRUMYBCIHc3VidHlwZSkAAAAAAAAAQDEAAADodkgXQiABKAIxanYyKdY410E5AAAAAJB2MkFKDUhvdXNpbmcgQm9vbSFSblRoZXJlIGFyZSBob3VzaW5nIHNob3J0YWdlcyBhbGwgb3ZlciB0aGUgZ2FsYXh5LCB0aGUgYnVpbGRpbmcgYm9vbSBuZWVkcyBtb3JlIFN1cGVyIE1hdGVyaWFsIGVnZ3MgdG8gY2F0Y2ggdXAh
new-moon,Back to the Moon,Original,false,2019-05-20Z,2019-06-10T18:32:02Z,Rocket Fuel,30,7d,8,-,1q,15q,50q,297.619T,,,,,1,50q,297.619T,,,"{""id"":""new-moon"",""egg_type"":4,""rewards"":[{""_1"":1,""goal"":1000000000000000,""type"":5,""name"":""silo_capacity"",""count"":1,""_6"":1000},{""_1"":1,""goal"":15000000000000000,""type"":6,""count"":10000,""_6"":1000000},{""_1"":1,""goal"":50000000000000000,""type"":4,""count"":1,""_6"":10000000000000}],""coop_allowed"":true,""max_coop_size"":8,""expiry_timestamp"":1560191522.673324,""duration_seconds"":604800,""name"":""Back to the Moon"",""description"":""With renewed plans to colonize the moon, rocket fuel is in high demand. Let us boldly go!""}",CghuZXctbW9vbhAEGi4IAREAADQm9WsMQxgFIg1zaWxvX2NhcGFjaXR5KQAAAAAAAPA/MQAAAAAAQI9AGh8IAREAwNDTNaVKQxgGKQAAAAAAiMNAMQAAAACAhC5BGh8IAREAoNiFVzRmQxgEKQAAAAAAAPA/MQAAQOWcMKJCIAEoCDG+F6uIqD/XQTkAAAAAAHUiQUoQQmFjayB0byB0aGUgTW9vblJZV2l0aCByZW5ld2VkIHBsYW5zIHRvIGNvbG9uaXplIHRoZSBtb29uLCByb2NrZXQgZnVlbCBpcyBpbiBoaWdoIGRlbWFuZC4gTGV0IHVzIGJvbGRseSBnbyE=
starlink,CleanX,Original,false,2019-05-28Z,2019-06-18T19:11:02Z,Graviton,175000,9d,3,-,20q,40q,,185.185T,,,,,1,40q,185.185T,,,"{""id"":""starlink"",""egg_type"":10,""rewards"":[{""_1"":1,""goal"":20000000000000000,""type"":3,""name"":""subtype"",""count"":1000000,""_6"":1000000},{""_1"":1,""goal"":40000000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":10000000000000}],""coop_allowed"":true,""max_coop_size"":3,""expiry_timestamp"":1560885062.3381066,""duration_seconds"":777600,""name"":""CleanX"",""description"":""To make room for more satellites, we need to clean up space! Over 500,000 pieces of space trash need to be pulled back to earth. So we're building a Graviton Canon!""}",CghzdGFybGluaxAKGigIAREAgOA3ecNRQxgDIgdzdWJ0eXBlKQAAAACAhC5BMQAAAACAhC5BGigIAREAgOA3ecNhQxgEIgdzdWJ0eXBlKQAAAAAAAPA/MQAAQOWcMKJCIAEoAzGKo5XRTULXQTkAAAAAALsnQUoGQ2xlYW5YUqQBVG8gbWFrZSByb29tIGZvciBtb3JlIHNhdGVsbGl0ZXMsIHdlIG5lZWQgdG8gY2xlYW4gdXAgc3BhY2UhIE92ZXIgNTAwLDAwMCBwaWVjZXMgb2Ygc3BhY2UgdHJhc2ggbmVlZCB0byBiZSBwdWxsZWQgYmFjayB0byBlYXJ0aC4gU28gd2UncmUgYnVpbGRpbmcgYSBHcmF2aXRvbiBDYW5vbiE=
mac-pro-2019,The New Mac Pro!,Original,false,2019-06-03Z,2019-06-24T23:56:08Z,Super Material,150,14d,5,-,20q,50q,100q,297.619T,,,,,1,100q,297.619T,,,"{""id"":""mac-pro-2019"",""egg_type"":5,""rewards"":[{""_1"":1,""goal"":20000000000000000,""type"":5,""name"":""int_hatch_calm"",""count"":2,""_6"":50000},{""_1"":1,""goal"":50000000000000000,""type"":2,""name"":""subtype"",""count"":500,""_6"":50000000},{""_1"":1,""goal"":100000000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":50000000000}],""coop_allowed"":true,""max_coop_size"":5,""expiry_timestamp"":1561420568.146847,""duration_seconds"":1209600,""name"":""The New Mac Pro!"",""description"":""Apple has placed an huge order of Super Material eggs for the crazy new Mac Pro case!""}",CgxtYWMtcHJvLTIwMTkQBRovCAERAIDgN3nDUUMYBSIOaW50X2hhdGNoX2NhbG0pAAAAAAAAAEAxAAAAAABq6EAaKAgBEQCg2IVXNGZDGAIiB3N1YnR5cGUpAAAAAABAf0AxAAAAAITXh0EaKAgBEQCg2IVXNHZDGAQiB3N1YnR5cGUpAAAAAAAA8D8xAAAA6HZIJ0IgASgFMfFlCcZYRNdBOQAAAAAAdTJBShBUaGUgTmV3IE1hYyBQcm8hUlVBcHBsZSBoYXMgcGxhY2VkIGFuIGh1Z2Ugb3JkZXIgb2YgU3VwZXIgTWF0ZXJpYWwgZWdncyBmb3IgdGhlIGNyYXp5IG5ldyBNYWMgUHJvIGNhc2Uh
heat-wave-2019,Heat Waves,Original,false,2019-06-10Z,2019-07-01T16:54:01Z,Waterballoon,0.1,7d,-,-,400T,5q,,29.762T,,,,,1,5q,29.762T,,,"{""id"":""heat-wave-2019"",""egg_type"":102,""rewards"":[{""_1"":1,""goal"":400000000000000,""type"":2,""name"":""subtype"",""count"":396,""_6"":25000},{""_1"":1,""goal"":5000000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":1000000000000}],""expiry_timestamp"":1562000041.7001805,""duration_seconds"":604800,""name"":""Heat Waves"",""description"":""Heat waves are being reported all over the planet, help everyone cool off!""}",Cg5oZWF0LXdhdmUtMjAxORBmGigIAREAAJAexLz2QhgCIgdzdWJ0eXBlKQAAAAAAwHhAMQAAAAAAathAGigIAREAgOA3ecMxQxgEIgdzdWJ0eXBlKQAAAAAAAPA/MQAAAKKUGm1CMcLPbKqORtdBOQAAAAAAdSJBSgpIZWF0IFdhdmVzUkpIZWF0IHdhdmVzIGFyZSBiZWluZyByZXBvcnRlZCBhbGwgb3ZlciB0aGUgcGxhbmV0LCBoZWxwIGV2ZXJ5b25lIGNvb2wgb2ZmIQ==
fourth-2019,Stockpile Fireworks,Original,false,2019-06-19Z,2019-07-10T23:07:03Z,Firework,4.99,14d,10,-,15q,100q,200q,595.238T,,,,,1,200q,595.238T,,,"{""id"":""fourth-2019"",""egg_type"":103,""rewards"":[{""_1"":1,""goal"":15000000000000000,""type"":2,""name"":""subtype"",""count"":396,""_6"":50000},{""_1"":1,""goal"":100000000000000000,""type"":5,""name"":""epic_multiplier"",""count"":5,""_6"":1000000000},{""_1"":1,""goal"":200000000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":1000000000000}],""coop_allowed"":true,""max_coop_size"":10,""expiry_timestamp"":1562800023.2813778,""duration_seconds"":1209600,""name"":""Stockpile Fireworks"",""description"":""Early orders indicate this is going to be a big 4th of July in the states! Time to start stockpiling fireworks!""}",Cgtmb3VydGgtMjAxORBnGigIAREAwNDTNaVKQxgCIgdzdWJ0eXBlKQAAAAAAwHhAMQAAAAAAauhAGjAIAREAoNiFVzR2QxgFIg9lcGljX211bHRpcGxpZXIpAAAAAAAAFEAxAAAAAGXNzUEaKAgBEQCg2IVXNIZDGAQiB3N1YnR5cGUpAAAAAAAA8D8xAAAAopQabUIgASgKMRgC0uWbSddBOQAAAAAAdTJBShNTdG9ja3BpbGUgRmlyZXdvcmtzUm9FYXJseSBvcmRlcnMgaW5kaWNhdGUgdGhpcyBpcyBnb2luZyB0byBiZSBhIGJpZyA0dGggb2YgSnVseSBpbiB0aGUgc3RhdGVzISBUaW1lIHRvIHN0YXJ0IHN0b2NrcGlsaW5nIGZpcmV3b3JrcyE=
long-days-wb,Waterballoon Fight!,Leggacy,true,2019-06-21Z,2019-06-28T17:37:40Z,Waterballoon,0.1,4d,6,-,750T,2q,10q,104.167T,,,,,1,10q,104.167T,,,"{""id"":""long-days-wb"",""egg_type"":102,""rewards"":[{""_1"":1,""goal"":750000000000000,""type"":2,""name"":""subtype"",""count"":621,""_6"":500000},{""_1"":1,""goal"":2000000000000000,""type"":3,""name"":""subtype"",""count"":500000,""_6"":10000000},{""_1"":1,""goal"":10000000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":100000000000}],""coop_allowed"":true,""max_coop_size"":6,""expiry_timestamp"":1561743460.1119392,""duration_seconds"":345600,""name"":""Waterballoon Fight!"",""description"":""The longest day of the year is here (norther hemisphere) and you know what that means!""}",Cgxsb25nLWRheXMtd2IQZhooCAERAACn3PdQBUMYAiIHc3VidHlwZSkAAAAAAGiDQDEAAAAAgIQeQRooCAERAAA0JvVrHEMYAyIHc3VidHlwZSkAAAAAgIQeQTEAAAAA0BJjQRooCAERAIDgN3nDQUMYBCIHc3VidHlwZSkAAAAAAADwPzEAAADodkg3QiABKAYxAyoHGZRF10E5AAAAAAAYFUFKE1dhdGVyYmFsbG9vbiBGaWdodCFSVlRoZSBsb25nZXN0IGRheSBvZiB0aGUgeWVhciBpcyBoZXJlIChub3J0aGVyIGhlbWlzcGhlcmUpIGFuZCB5b3Uga25vdyB3aGF0IHRoYXQgbWVhbnMh
schools-out-2018,School's Out!,Leggacy,true,2019-06-24Z,2019-07-01T16:42:48Z,Prodigy,1.5M,2d,10,-,1q,5q,,104.167T,,,,,1,5q,104.167T,,,"{""id"":""schools-out-2018"",""egg_type"":12,""rewards"":[{""_1"":1,""goal"":1000000000000000,""type"":5,""name"":""drone_rewards"",""count"":2,""_6"":300000},{""_1"":1,""goal"":5000000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":100000000000}],""coop_allowed"":true,""max_coop_size"":10,""expiry_timestamp"":1561999368.4502234,""duration_seconds"":172800,""name"":""School's Out!"",""description"":""A new batch of students have earned their certification to consume Prodigy Eggs!""}",ChBzY2hvb2xzLW91dC0yMDE4EAwaLggBEQAANCb1awxDGAUiDWRyb25lX3Jld2FyZHMpAAAAAAAAAEAxAAAAAIBPEkEaKAgBEQCA4Dd5wzFDGAQiB3N1YnR5cGUpAAAAAAAA8D8xAAAA6HZIN0IgASgKMXbQHAKORtdBOQAAAAAAGAVBSg1TY2hvb2wncyBPdXQhUlBBIG5ldyBiYXRjaCBvZiBzdHVkZW50cyBoYXZlIGVhcm5lZCB0aGVpciBjZXJ0aWZpY2F0aW9uIHRvIGNvbnN1bWUgUHJvZGlneSBFZ2dzIQ==
lego-tower,LEGO Tower!,Original,false,2019-07-02Z,2019-07-23T05:15:51Z,Super Material,150,7d,20,-,5q,25q,100q,595.238T,,,,,1,100q,595.238T,,,"{""id"":""lego-tower"",""egg_type"":5,""rewards"":[{""_1"":1,""goal"":5000000000000000,""type"":6,""name"":""subtype"",""count"":10000,""_6"":25000},{""_1"":1,""goal"":25000000000000000,""type"":3,""name"":""subtype"",""count"":25000000,""_6"":100000000},{""_1"":1,""goal"":100000000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":10000000000000}],""coop_allowed"":true,""max_coop_size"":20,""expiry_timestamp"":1563858951.1962254,""duration_seconds"":604800,""name"":""LEGO Tower!"",""description"":""Everyone is building LEGO towers. Super Material eggs are needed to form all the bricks! (download LEGO Tower today!)""}",CgpsZWdvLXRvd2VyEAUaKAgBEQCA4Dd5wzFDGAYiB3N1YnR5cGUpAAAAAACIw0AxAAAAAABq2EAaKAgBEQCg2IVXNFZDGAMiB3N1YnR5cGUpAAAAAITXd0ExAAAAAITXl0EaKAgBEQCg2IVXNHZDGAQiB3N1YnR5cGUpAAAAAAAA8D8xAABA5ZwwokIgASgUMfWOzAGmTddBOQAAAAAAdSJBSgtMRUdPIFRvd2VyIVJ1RXZlcnlvbmUgaXMgYnVpbGRpbmcgTEVHTyB0b3dlcnMuIFN1cGVyIE1hdGVyaWFsIGVnZ3MgYXJlIG5lZWRlZCB0byBmb3JtIGFsbCB0aGUgYnJpY2tzISAoZG93bmxvYWQgTEVHTyBUb3dlciB0b2RheSEp
federal-reggserve,Federal Reggserve,Original,false,2019-07-15Z,2019-08-05T16:49:41Z,Super Material,150,7d,50,-,10q,120q,300q,1.786q,,,,,1,300q,1.786q,,,"{""id"":""federal-reggserve"",""egg_type"":5,""rewards"":[{""_1"":1,""goal"":10000000000000000,""type"":3,""name"":""subtype"",""count"":10000,""_6"":10000},{""_1"":1,""goal"":120000000000000000,""type"":2,""name"":""subtype"",""count"":720,""_6"":10000000},{""_1"":1,""goal"":300000000000000000,""type"":4,""name"":""1"",""count"":1,""_6"":1000000000000}],""coop_allowed"":true,""max_coop_size"":50,""expiry_timestamp"":1565023781.6554759,""duration_seconds"":604800,""name"":""Federal Reggserve"",""description"":""With so many piggy breaks during Eggcelebration, the Federal Reggserve is all out of Golden Eggs! The Mint needs Super Material eggs to forge more!""}",ChFmZWRlcmFsLXJlZ2dzZXJ2ZRAFGigIAREAgOA3ecNBQxgDIgdzdWJ0eXBlKQAAAAAAiMNAMQAAAAAAiMNAGigIAREAwNDTNaV6QxgCIgdzdWJ0eXBlKQAAAAAAgIZAMQAAAADQEmNBGiIIAREAeGKkQaeQQxgEIgExKQAAAAAAAPA/MQAAAKKUGm1CIAEoMjFR82mJF1LXQTkAAAAAAHUiQUoRRmVkZXJhbCBSZWdnc2VydmVSkwFXaXRoIHNvIG1hbnkgcGlnZ3kgYnJlYWtzIGR1cmluZyBFZ2djZWxlYnJhdGlvbiwgdGhlIEZlZGVyYWwgUmVnZ3NlcnZlIGlzIGFsbCBvdXQgb2YgR29sZGVuIEVnZ3MhIFRoZSBNaW50IG5lZWRzIFN1cGVyIE1hdGVyaWFsIGVnZ3MgdG8gZm9yZ2UgbW9yZSE=
boost-madness,Edible Shortage,Original,false,2019-07-25Z,2019-08-15T15:35:31Z,Edible,0.1,7d,4,-,200T,2.5q,20q,119.048T,,,,,1,20q,119.048T,,,"{""id"":""boost-madness"",""egg_type"":1,""rewards"":[{""_1"":1,""goal"":200000000000000,""type"":2,""name"":""subtype"",""count"":250,""_6"":10000},{""_1"":1,""goal"":2500000000000000,""type"":2,""name"":""subtype"",""count"":500,""_6"":1000000},{""_1"":1,""goal"":20000000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":100000000000}],""coop_allowed"":true,""max_coop_size"":4,""expiry_timestamp"":1565883331.8715034,""duration_seconds"":604800,""name"":""Edible Shortage"",""description"":""With the discovery of new Boosts, farmers are quickly moving to pricier eggs leading to a scarcity of Edible Eggs, we need your help!"",""max_boosts"":1}",Cg1ib29zdC1tYWRuZXNzEAEaKAgBEQAAkB7EvOZCGAIiB3N1YnR5cGUpAAAAAABAb0AxAAAAAACIw0AaKAgBEQCA4Dd5wyFDGAIiB3N1YnR5cGUpAAAAAABAf0AxAAAAAICELkEaKAgBEQCA4Dd5w1FDGAQiB3N1YnR5cGUpAAAAAAAA8D8xAAAA6HZIN0IgASgEMbbG9/BeVddBOQAAAAAAdSJBSg9FZGlibGUgU2hvcnRhZ2VShQFXaXRoIHRoZSBkaXNjb3Zlcnkgb2YgbmV3IEJvb3N0cywgZmFybWVycyBhcmUgcXVpY2tseSBtb3ZpbmcgdG8gcHJpY2llciBlZ2dzIGxlYWRpbmcgdG8gYSBzY2FyY2l0eSBvZiBFZGlibGUgRWdncywgd2UgbmVlZCB5b3VyIGhlbHAhYAE=
summer-activities,Summer Activities,Original,false,2019-07-29Z,2019-08-19T16:23:16Z,Medical,6.25,5d,10,-,500T,5q,20q,166.667T,,,,,0,,,,,"{""id"":""summer-activities"",""egg_type"":3,""rewards"":[{""_1"":1,""goal"":500000000000000,""type"":2,""name"":""subtype"",""count"":192,""_6"":1000},{""_1"":1,""goal"":5000000000000000,""type"":8,""name"":""subtype"",""count"":1,""_6"":100000},{""_1"":1,""goal"":20000000000000000,""type"":9,""name"":""tachyon_prism_orange"",""count"":1,""_6"":10000000000}],""coop_allowed"":true,""max_coop_size"":10,""expiry_timestamp"":1566231796.9485013,""duration_seconds"":432000,""name"":""Summer Activities"",""description"":""Summer activities are at an all time high, and that means so are injuries! Help meet the demand for Medical eggs."",""max_boosts"":2}",ChFzdW1tZXItYWN0aXZpdGllcxADGigIAREAADQm9Wv8QhgCIgdzdWJ0eXBlKQAAAAAAAGhAMQAAAAAAQI9AGigIAREAgOA3ecMxQxgIIgdzdWJ0eXBlKQAAAAAAAPA/MQAAAAAAavhAGjUIAREAgOA3ecNRQxgJIhR0YWNoeW9uX3ByaXNtX29yYW5nZSkAAAAAAADwPzEAAAAgX6ACQiABKAoxP7Q8PbNW10E5AAAAAABeGkFKEVN1bW1lciBBY3Rpdml0aWVzUnFTdW1tZXIgYWN0aXZpdGllcyBhcmUgYXQgYW4gYWxsIHRpbWUgaGlnaCwgYW5kIHRoYXQgbWVhbnMgc28gYXJlIGluanVyaWVzISBIZWxwIG1lZXQgdGhlIGRlbWFuZCBmb3IgTWVkaWNhbCBlZ2dzLmAC
summer-heat,Summer Heat,Original,false,2019-08-05Z,2019-08-26T17:26:28Z,Fusion,700,4d,-,-,600T,1.5q,3q,31.250T,,,,,1,3q,31.250T,,,"{""id"":""summer-heat"",""egg_type"":6,""rewards"":[{""_1"":1,""goal"":600000000000000,""type"":6,""name"":""subtype"",""count"":5000,""_6"":25000},{""_1"":1,""goal"":1500000000000000,""type"":9,""name"":""boost_beacon_blue"",""count"":1,""_6"":10000000},{""_1"":1,""goal"":3000000000000000,""type"":4,""count"":1,""_6"":200000000000}],""expiry_timestamp"":1566840388.2107558,""duration_seconds"":345600,""name"":""Summer Heat"",""description"":""With summer heat in full swing, AC is running non stop and some power plants need more fuel!"",""max_boosts"":3}",CgtzdW1tZXItaGVhdBAGGigIAREAAOwWkw0BQxgGIgdzdWJ0eXBlKQAAAAAAiLNAMQAAAAAAathAGjIIAREAAKfc91AVQxgJIhFib29zdF9iZWFjb25fYmx1ZSkAAAAAAADwPzEAAAAA0BJjQRofCAERAACn3PdQJUMYBCkAAAAAAADwPzEAAADodkhHQjEGfQ2RBVnXQTkAAAAAABgVQUoLU3VtbWVyIEhlYXRSXFdpdGggc3VtbWVyIGhlYXQgaW4gZnVsbCBzd2luZywgQUMgaXMgcnVubmluZyBub24gc3RvcCBhbmQgc29tZSBwb3dlciBwbGFudHMgbmVlZCBtb3JlIGZ1ZWwhYAM=
moon-vacation,Moon Vacation,Original,false,2019-08-12Z,2019-09-02T17:03:27Z,Rocket Fuel,30,6d,7,-,1q,7q,30q,208.333T,,,,,0,,,,,"{""id"":""moon-vacation"",""egg_type"":4,""rewards"":[{""_1"":1,""goal"":1000000000000000,""type"":9,""name"":""tachyon_prism_purple"",""count"":1,""_6"":10000},{""_1"":1,""goal"":7000000000000000,""type"":7,""name"":""subtype"",""count"":2,""_6"":1000000},{""_1"":1,""goal"":30000000000000000,""type"":9,""name"":""jimbos_orange_big"",""count"":1,""_6"":100000000000}],""coop_allowed"":true,""max_coop_size"":7,""expiry_timestamp"":1567443807.4269369,""duration_seconds"":518400,""name"":""Moon Vacation"",""description"":""Folks are squeezing in their final summer trips and the Moon is this years most popular destination, more fuel is needed!"",""max_boosts"":1}",Cg1tb29uLXZhY2F0aW9uEAQaNQgBEQAANCb1awxDGAkiFHRhY2h5b25fcHJpc21fcHVycGxlKQAAAAAAAPA/MQAAAAAAiMNAGigIAREAgG2Bdt44QxgHIgdzdWJ0eXBlKQAAAAAAAABAMQAAAACAhC5BGjIIAREAwNDTNaVaQxgJIhFqaW1ib3Nfb3JhbmdlX2JpZykAAAAAAADwPzEAAADodkg3QiABKAcx71Lb11Jb10E5AAAAAACkH0FKDU1vb24gVmFjYXRpb25SeUZvbGtzIGFyZSBzcXVlZXppbmcgaW4gdGhlaXIgZmluYWwgc3VtbWVyIHRyaXBzIGFuZCB0aGUgTW9vbiBpcyB0aGlzIHllYXJzIG1vc3QgcG9wdWxhciBkZXN0aW5hdGlvbiwgbW9yZSBmdWVsIGlzIG5lZWRlZCFgAQ==
fillament-shortage,3D Printing,Original,false,2019-08-19Z,2019-09-09T16:15:49Z,Super Material,150,7d,10,-,250T,10q,50q,297.619T,,,,,1,50q,297.619T,,,"{""id"":""fillament-shortage"",""egg_type"":5,""rewards"":[{""_1"":1,""goal"":250000000000000,""type"":2,""name"":""subtype"",""count"":96,""_6"":1000},{""_1"":1,""goal"":10000000000000000,""type"":9,""name"":""blank_check"",""count"":2,""_6"":1000000},{""_1"":1,""goal"":50000000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":1000000000000}],""coop_allowed"":true,""max_coop_size"":10,""expiry_timestamp"":1568045749.6893406,""duration_seconds"":604800,""name"":""3D Printing"",""description"":""3D printing is blowing up and there are filament shortages all over, Super Material eggs are needed!"",""max_boosts"":2}",ChJmaWxsYW1lbnQtc2hvcnRhZ2UQBRooCAERAAA0JvVr7EIYAiIHc3VidHlwZSkAAAAAAABYQDEAAAAAAECPQBosCAERAIDgN3nDQUMYCSILYmxhbmtfY2hlY2spAAAAAAAAAEAxAAAAAICELkEaKAgBEQCg2IVXNGZDGAQiB3N1YnR5cGUpAAAAAAAA8D8xAAAAopQabUIgASgKMSgebK2eXddBOQAAAAAAdSJBSgszRCBQcmludGluZ1JkM0QgcHJpbnRpbmcgaXMgYmxvd2luZyB1cCBhbmQgdGhlcmUgYXJlIGZpbGFtZW50IHNob3J0YWdlcyBhbGwgb3ZlciwgU3VwZXIgTWF0ZXJpYWwgZWdncyBhcmUgbmVlZGVkIWAC
amazon-burning,Help The Amazon,Original,false,2019-08-26Z,2019-09-16T19:10:01Z,Waterballoon,0.1,5d,10,-,10T,1q,10q,83.333T,,,,,0,,,,,"{""id"":""amazon-burning"",""egg_type"":102,""rewards"":[{""_1"":1,""goal"":10000000000000,""type"":2,""name"":""subtype"",""count"":192,""_6"":250},{""_1"":1,""goal"":1000000000000000,""type"":6,""name"":""subtype"",""count"":10000,""_6"":100000},{""_1"":1,""goal"":10000000000000000,""type"":9,""name"":""soul_beacon_orange"",""count"":1,""_6"":100000000}],""coop_allowed"":true,""max_coop_size"":10,""expiry_timestamp"":1568661001.1972957,""duration_seconds"":432000,""name"":""Help The Amazon"",""description"":""The Amazon Rainforest continues to burn at unprecedented levels, waterballoon eggs are needed! Auxbrain, Inc has donated to the Rainforest Alliance to help.""}",Cg5hbWF6b24tYnVybmluZxBmGigIAREAAEDlnDCiQhgCIgdzdWJ0eXBlKQAAAAAAAGhAMQAAAAAAQG9AGigIAREAADQm9WsMQxgGIgdzdWJ0eXBlKQAAAAAAiMNAMQAAAAAAavhAGjMIAREAgOA3ecNBQxgJIhJzb3VsX2JlYWNvbl9vcmFuZ2UpAAAAAAAA8D8xAAAAAITXl0EgASgKMX6gTIL3X9dBOQAAAAAAXhpBSg9IZWxwIFRoZSBBbWF6b25SnAFUaGUgQW1hem9uIFJhaW5mb3Jlc3QgY29udGludWVzIHRvIGJ1cm4gYXQgdW5wcmVjZWRlbnRlZCBsZXZlbHMsIHdhdGVyYmFsbG9vbiBlZ2dzIGFyZSBuZWVkZWQhIEF1eGJyYWluLCBJbmMgaGFzIGRvbmF0ZWQgdG8gdGhlIFJhaW5mb3Jlc3QgQWxsaWFuY2UgdG8gaGVscC4=
back-to-school-2018,Back To School,Leggacy,true,2019-09-02Z,2019-09-09T15:53:44Z,Tachyon,50000,5d,-,-,700T,2.5q,,20.833T,,,,,1,2.5q,20.833T,,,"{""id"":""back-to-school-2018"",""egg_type"":9,""rewards"":[{""_1"":1,""goal"":700000000000000,""type"":2,""name"":""subtype"",""count"":512,""_6"":5000},{""_1"":1,""goal"":2500000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":800000000}],""expiry_timestamp"":1568044424.0162115,""duration_seconds"":432000,""name"":""Back To School"",""description"":""Back-to-school students are in need of a refresher, Teachers need tachyon eggs to send kinds back in time to review material they forgot over summer.""}",ChNiYWNrLXRvLXNjaG9vbC0yMDE4EAkaKAgBEQAAvpor5QNDGAIiB3N1YnR5cGUpAAAAAAAAgEAxAAAAAACIs0AaKAgBEQCA4Dd5wyFDGAQiB3N1YnR5cGUpAAAAAAAA8D8xAAAAAITXx0ExnAkBYp1d10E5AAAAAABeGkFKDkJhY2sgVG8gU2Nob29sUpUBQmFjay10by1zY2hvb2wgc3R1ZGVudHMgYXJlIGluIG5lZWQgb2YgYSByZWZyZXNoZXIsIFRlYWNoZXJzIG5lZWQgdGFjaHlvbiBlZ2dzIHRvIHNlbmQga2luZHMgYmFjayBpbiB0aW1lIHRvIHJldmlldyBtYXRlcmlhbCB0aGV5IGZvcmdvdCBvdmVyIHN1bW1lci4=
mystery-buyer,Superfood Mystery,Original,false,2019-09-02Z,2019-09-23T16:38:42Z,Superfood,1.25,7d,25,-,3q,20q,100q,595.238T,,,,,1,100q,595.238T,,,"{""id"":""mystery-buyer"",""egg_type"":2,""rewards"":[{""_1"":1,""goal"":3000000000000000,""type"":6,""name"":""subtype"",""count"":10000,""_6"":1000000},{""_1"":1,""goal"":20000000000000000,""type"":9,""name"":""jimbos_orange"",""count"":2,""_6"":100000000000},{""_1"":1,""goal"":100000000000000000,""type"":4,""name"":""subtype"",""count"":1,""_6"":10000000000000}],""coop_allowed"":true,""max_coop_size"":25,""expiry_timestamp"":1569256722.5008042,""duration_seconds"":604800,""name"":""Superfood Mystery"",""description"":""A mysterious company is buying incredible amounts of Superfood Eggs, can you meet the demands?"",""max_boosts"":2}",Cg1teXN0ZXJ5LWJ1eWVyEAIaKAgBEQAAp9z3UCVDGAYiB3N1YnR5cGUpAAAAAACIw0AxAAAAAICELkEaLggBEQCA4Dd5w1FDGAkiDWppbWJvc19vcmFuZ2UpAAAAAAAAAEAxAAAA6HZIN0IaKAgBEQCg2IVXNHZDGAQiB3N1YnR5cGUpAAAAAAAA8D8xAABA5ZwwokIgASgZMS0NoEQ9YtdBOQAAAAAAdSJBShFTdXBlcmZvb2QgTXlzdGVyeVJeQSBteXN0ZXJpb3VzIGNvbXBhbnkgaXMgYnV5aW5nIGluY3JlZGlibGUgYW1vdW50cyBvZiBTdXBlcmZvb2QgRWdncywgY2FuIHlvdSBtZWV0IHRoZSBkZW1hbmRzP2AC
